player_id,birth_year,birth_month,birth_day,birth_country,birth_state,birth_city,death_year,death_month,death_day,death_country,death_state,death_city,name_first,name_last,name_given,weight,height,bats,throws,debut,final_game,retro_id,bbref_id,inducted,allstar,game,ab,run,hit,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,ba,w,l,gpitch,gs,cg,sho,sv,ipouts,hallow,er,hrallow,bballow,sopitch,wp,batterhit,bk,bfp,gf,rallow,timein
marioma01,1916,12,1,USA,SC,Richburg,2011,3,15,USA,MO,Ladue,Marty,Marion,Martin Whiteford,170,74,R,R,1940-04-16,1953-07-06,marim101,marioma01,N,8,1572,5506,602,1448,272,37,36,624,35,2,470,537,0,14,151,0.2629858336360334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
marisro01,1934,9,10,USA,MN,Hibbing,1985,12,14,USA,TX,Houston,Roger,Maris,Roger Eugene,197,72,L,R,1957-04-16,1968-09-29,marir101,marisro01,N,7,1463,5101,826,1325,195,42,275,851,21,9,652,733,42,38,12,0.2597529896098804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
marquru01,1886,10,9,USA,OH,Cleveland,1980,6,1,USA,MD,Baltimore,Rube,Marquard,Richard William,180,75,B,L,1908-09-25,1925-09-18,marqr102,marquru01,Y,0,536,1107,63,198,17,3,1,64,6,1,33,191,0,7,48,0.17886178861788618,201,177,536,403,197,30,19,9920,3233,1130,107,858,1593,81,39,5,13657,83,1443,16
marshmi01,1943,1,15,USA,MI,Adrian,NA,NA,NA,NA,NA,NA,Mike,Marshall,Michael Grant,180,70,R,R,1967-05-31,1981-10-02,marsm101,marshmi01,N,2,725,179,11,35,1,0,1,16,0,0,17,33,0,1,18,0.19553072625698323,97,112,723,24,3,1,188,4160,1281,484,79,514,880,72,31,7,5842,549,548,14
marshwi01,1921,2,8,USA,VA,Richmond,2e3,11,5,USA,NJ,Norwood,Willard,Marshall,Willard Warren,205,73,L,R,1942-04-14,1955-06-15,marsw101,marshwi01,N,3,1246,4233,583,1160,163,39,130,604,14,4,458,219,1,13,29,0.27403732577368295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
marteda01,1975,2,14,D.R.,Distrito Nacional,Santo Domingo,NA,NA,NA,NA,NA,NA,Damaso,Marte,Damaso,215,74,L,L,1999-06-30,2010-07-07,martd004,marteda01,N,0,570,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,27,570,0,0,0,36,1511,405,195,48,229,533,15,26,5,2118,137,209,11
martial03,1967,11,24,USA,CA,West Covina,NA,NA,NA,NA,NA,NA,Al,Martin,Albert Lee,220,74,L,L,1992-07-28,2003-09-21,marta001,martial03,N,0,1232,4242,664,1172,220,48,132,485,173,65,390,879,43,24,5,0.27628477133427626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
martibi02,1928,5,16,USA,CA,Berkeley,1989,12,25,USA,NY,Johnson City,Billy,Martin,Alfred Manuel,165,71,R,R,1950-04-18,1961-10-01,martb105,martibi02,N,1,1021,3419,425,877,137,28,64,333,34,29,188,355,8,32,55,0.25650775080432875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
martibu01,1948,11,7,USA,CA,Redding,NA,NA,NA,NA,NA,NA,Buck,Martinez,John Albert,190,70,R,R,1969-06-18,1986-10-03,martb001,martibu01,N,0,1049,2743,245,618,128,10,58,321,5,10,230,419,5,8,56,0.22530076558512577,0,0,1,0,0,0,0,3,1,1,0,1,0,0,0,0,5,1,1,17
martida01,1964,9,26,USA,NY,New York,NA,NA,NA,NA,NA,NA,Dave,Martinez,David,150,70,L,L,1986-06-15,2001-10-07,martd002,martida01,N,0,1919,5795,795,1599,238,72,91,580,183,94,567,893,47,28,53,0.2759275237273512,0,0,2,0,0,0,0,4,2,2,0,4,0,0,0,0,10,1,2,15
martide01,1954,5,14,Nicaragua,NA,Granada,NA,NA,NA,NA,NA,NA,Dennis,Martinez,Jose Dennis,160,73,R,R,1976-09-14,1998-09-27,martd001,martide01,N,4,695,520,25,74,12,0,0,33,1,0,15,168,0,2,65,0.1423076923076923,245,193,692,562,122,30,8,11999,3897,1643,372,1165,2149,89,122,30,16754,51,1835,22
martied01,1963,1,2,USA,NY,New York,NA,NA,NA,NA,NA,NA,Edgar,Martinez,Edgar,175,72,R,R,1987-09-12,2004-10-03,marte001,martied01,N,7,2055,7213,1219,2247,514,15,309,1261,49,30,1283,1202,113,89,10,0.31152086510467214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
martijc01,1936,12,13,USA,VA,Axton,NA,NA,NA,NA,NA,NA,J. C.,Martin,Joseph Clifton,188,74,L,R,1959-09-10,1972-08-12,martj107,martij.01,N,0,908,2189,189,487,82,12,32,230,9,8,201,299,53,17,22,0.2224760164458657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
martipe01,1904,2,29,USA,OK,Temple,1965,3,5,USA,OK,McAlester,Pepper,Martin,Johnny Leonard Roosevelt,170,68,R,R,1928-04-16,1944-10-01,martp103,martipe01,N,4,1189,4117,754,1227,270,75,59,501,146,0,369,438,0,13,22,0.29803254797182416,0,0,2,0,0,0,0,12,2,1,0,2,0,0,0,0,13,1,1,16
martipe02,1971,10,25,D.R.,Distrito Nacional,Manoguayabo,NA,NA,NA,NA,NA,NA,Pedro,Martinez,Pedro Jaime,170,71,R,R,1992-09-24,2009-09-30,martp001,martipe02,Y,8,477,434,22,43,6,2,0,18,0,0,15,190,0,3,63,0.09907834101382489,219,100,476,409,46,17,3,8482,2221,919,239,760,3154,62,141,6,11394,23,1006,17
martira02,1968,3,22,D.R.,Distrito Nacional,Santo Domingo,NA,NA,NA,NA,NA,NA,Ramon,Martinez,Ramon Jaime,165,76,R,R,1988-08-13,2001-05-01,martr002,martira02,N,1,305,596,33,91,12,1,1,33,0,2,7,200,0,1,68,0.15268456375838926,135,88,301,297,37,20,0,5687,1691,772,170,795,1427,33,66,7,8075,1,880,12
martiti01,1950,5,31,USA,CO,La Junta,NA,NA,NA,NA,NA,NA,Tippy,Martinez,Felix Anthony,180,70,L,L,1974-08-09,1988-04-18,martt001,martiti01,N,1,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,55,42,546,2,0,0,115,2502,732,320,53,425,632,58,8,7,3544,320,357,13
martiti02,1967,12,7,USA,FL,Tampa,NA,NA,NA,NA,NA,NA,Tino,Martinez,Constantino,205,74,L,R,1990-08-20,2005-10-02,martt002,martiti02,N,2,2023,7111,1008,1925,365,21,339,1271,27,20,780,1069,102,59,14,0.2707073548024188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
marzajo01,1963,2,14,USA,PA,Philadelphia,2008,4,19,USA,PA,Philadelphia,John,Marzano,John Robert,185,71,R,R,1987-07-31,1998-09-23,marzj001,marzajo01,N,0,301,794,79,191,45,2,11,72,0,2,39,138,1,18,14,0.24055415617128464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
masiph01,1916,1,6,USA,IL,Chicago,1990,3,29,USA,IL,Mount Prospect,Phil,Masi,Philip Samuel,177,70,R,R,1939-04-23,1952-08-17,masip101,masiph01,N,4,1229,3468,420,917,164,31,47,417,45,1,410,311,0,10,58,0.2644175317185698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
mastewa02,1920,6,22,USA,PA,Philadelphia,2008,4,5,USA,NC,Durham,Walt,Masterson,Walter Edward,189,74,R,R,1939-05-08,1956-09-24,mastw101,mastewa02,N,2,402,486,37,68,9,2,0,26,1,1,34,221,0,0,34,0.13991769547325103,78,100,399,184,70,15,20,4949,1613,760,101,886,815,33,28,1,7281,115,888,17
mathebo01,1851,11,21,USA,MD,Baltimore,1898,4,17,USA,MD,Baltimore,Bobby,Mathews,Robert T.,140,65,R,R,1871-05-04,1887-10-10,mathb101,mathebo01,N,0,623,2487,318,504,47,9,1,162,8,5,73,58,0,0,0,0.20265379975874548,297,248,578,568,525,19,3,14869,5591,1591,69,533,1366,94,48,2,11929,8,3497,16
mathech01,1880,8,12,USA,PA,Factoryville,1925,10,7,USA,NY,Saranac Lake,Christy,Mathewson,Christopher,195,73,R,R,1900-07-17,1916-09-04,mathc102,mathech01,Y,0,646,1684,151,362,50,12,7,165,20,1,116,74,0,17,69,0.21496437054631828,373,188,635,551,434,79,28,14342,4218,1133,91,844,2502,114,59,6,19136,74,1616,16
matheed01,1931,10,13,USA,TX,Texarkana,2001,2,18,USA,CA,La Jolla,Eddie,Mathews,Edwin Lee,190,73,L,R,1952-04-15,1968-09-27,mathe101,matheed01,Y,12,2391,8537,1509,2315,354,72,512,1453,68,39,1444,1487,107,26,36,0.2711725430479091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
mathemi01,1970,9,22,USA,OH,Columbus,NA,NA,NA,NA,NA,NA,Mike,Matheny,Michael Scott,205,75,R,R,1994-04-07,2006-05-31,mathm001,mathemi01,N,0,1305,3877,353,925,190,9,67,443,8,14,266,795,54,45,65,0.23858653598142893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
matlajo01,1950,1,19,USA,PA,West Chester,NA,NA,NA,NA,NA,NA,Jon,Matlack,Jonathan Trumpbour,205,75,L,L,1971-07-11,1983-09-15,matlj101,matlajo01,N,3,362,441,32,57,3,0,0,23,0,0,57,217,0,1,41,0.1292517006802721,125,126,361,318,97,30,3,7089,2276,835,161,638,1516,68,26,9,9789,23,970,12
matthga01,1950,7,5,USA,CA,San Fernando,NA,NA,NA,NA,NA,NA,Gary,Matthews,Gary Nathaniel,185,74,R,R,1972-09-06,1987-10-02,mattg001,matthga01,N,1,2033,7147,1083,2011,319,51,234,978,183,74,940,1125,46,21,19,0.28137680145515603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
matthga02,1974,8,25,USA,CA,San Francisco,NA,NA,NA,NA,NA,NA,Gary,Matthews,Gary Nathaniel,200,75,B,R,1999-06-04,2010-06-02,mattg002,matthga02,N,1,1281,4103,612,1056,225,29,108,484,95,36,454,849,26,18,13,0.257372654155496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
mattido01,1961,4,20,USA,IN,Evansville,NA,NA,NA,NA,NA,NA,Don,Mattingly,Donald Arthur,175,72,L,L,1982-09-08,1995-10-01,mattd001,mattido01,N,6,1785,7003,1007,2153,442,20,222,1099,14,9,588,444,136,21,13,0.30743966871340855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
mauchge01,1925,11,18,USA,KS,Salina,2005,8,8,USA,CA,Rancho Mirage,Gene,Mauch,Gene William,165,70,R,R,1944-04-18,1957-09-28,maucg101,mauchge01,N,0,304,737,93,176,25,7,5,62,6,0,104,82,0,2,7,0.23880597014925373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
maulal01,1865,10,9,USA,PA,Philadelphia,1958,5,3,USA,PA,Philadelphia,Al,Maul,Albert Joseph,175,72,R,R,1884-06-20,1901-09-09,maula101,maulal01,N,0,410,1376,193,331,45,30,7,179,44,0,182,170,0,16,3,0.24055232558139536,84,80,188,168,143,4,1,4304,1662,706,59,518,346,48,25,4,1560,20,1073,17
maxvida01,1939,2,18,USA,IL,Granite City,NA,NA,NA,NA,NA,NA,Dal,Maxvill,Charles Dallan,157,71,R,R,1962-06-10,1975-09-28,maxvd101,maxvida01,N,0,1423,3443,302,748,79,24,6,252,7,11,370,538,49,8,54,0.21725239616613418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
maxwech01,1927,4,8,USA,MI,Lawton,NA,NA,NA,NA,NA,NA,Charlie,Maxwell,Charles Richard,185,71,L,L,1950-09-20,1964-04-26,maxwc101,maxwech01,N,2,1133,3245,478,856,110,26,148,532,18,7,484,545,31,22,16,0.2637904468412943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
maybejo01,1949,2,18,USA,MI,Detroit,NA,NA,NA,NA,NA,NA,John,Mayberry,John Claiborn,215,75,L,L,1968-09-10,1982-09-28,maybj101,maybejo01,N,2,1620,5447,733,1379,211,19,255,879,20,17,881,810,106,55,10,0.2531668808518451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
mayda01,1943,12,23,USA,DE,New Castle,2012,10,20,USA,DE,Bear,Dave,May,David LaFrance,186,70,L,R,1967-07-28,1978-10-01,may-d101,mayda01,N,1,1252,3670,462,920,130,20,96,422,60,47,344,501,41,28,25,0.2506811989100817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
mayele01,1934,12,11,USA,AL,Tuscaloosa,2002,7,17,USA,CA,Riverside,Lee,Maye,Arthur Lee,190,74,L,R,1959-07-17,1971-06-29,mayel101,mayele01,N,0,1288,4048,533,1109,190,39,94,419,59,34,282,481,29,19,13,0.2739624505928854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
mayja01,1895,11,25,USA,NC,Youngsville,1970,6,3,USA,NC,Raleigh,Jakie,May,Frank Spruiell,178,68,R,L,1917-06-26,1932-09-25,may-j102,mayja01,N,0,410,468,33,80,10,5,2,24,0,0,28,120,0,2,29,0.17094017094017094,72,95,410,161,70,7,19,4687,1645,673,35,617,765,31,88,4,6831,150,808,15
mayle01,1943,3,23,USA,AL,Birmingham,NA,NA,NA,NA,NA,NA,Lee,May,Lee Andrew,195,75,R,R,1965-09-01,1982-09-24,may-l101,mayle01,N,3,2071,7609,959,2031,340,31,354,1244,39,35,487,1570,85,49,9,0.26692075174135893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
maymi01,1950,8,1,USA,IN,Gary,NA,NA,NA,NA,NA,NA,Milt,May,Milton Scott,190,72,L,R,1970-09-08,1984-09-30,may-m001,maymi01,N,0,1192,3693,313,971,147,11,77,443,4,13,305,361,65,9,35,0.26292986731654483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
maynebr01,1968,4,19,USA,CA,Loma Linda,NA,NA,NA,NA,NA,NA,Brent,Mayne,Brent Danem,195,73,L,R,1990-09-18,2004-10-02,maynb001,maynebr01,N,0,1279,3614,359,951,178,8,38,403,18,27,370,580,55,21,41,0.2631433314886552,1,0,1,0,0,0,0,3,1,0,0,1,0,1,0,0,5,1,0,14
mayoed01,1910,4,15,USA,MA,Holyoke,2006,11,27,USA,CA,Banning,Eddie,Mayo,Edward Joseph,178,71,L,R,1936-05-22,1948-10-03,mayoe101,mayoed01,N,1,834,3013,350,759,119,16,26,287,29,38,257,175,0,13,109,0.25190839694656486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
mayru01,1944,7,18,USA,KS,Coffeyville,NA,NA,NA,NA,NA,NA,Rudy,May,Rudolph,205,74,L,L,1965-04-18,1983-09-21,may-r101,mayru01,N,0,536,341,12,42,9,0,0,14,0,0,22,164,0,2,17,0.12316715542521994,152,156,535,360,87,24,12,7866,2314,1007,199,958,1760,67,42,18,10902,73,1150,18
maysca01,1891,11,12,USA,KY,Liberty,1971,4,4,USA,CA,El Cajon,Carl,Mays,Carl William,195,71,L,R,1915-04-15,1929-09-24,maysc101,maysca01,N,0,502,1085,113,291,32,21,5,110,1,1,66,116,0,4,44,0.26820276497695855,207,126,490,325,231,29,31,9064,2912,979,73,734,862,34,89,1,12385,125,1211,14
mayswi01,1931,5,6,USA,AL,Westfield,NA,NA,NA,NA,NA,NA,Willie,Mays,Willie Howard,170,70,R,R,1951-05-25,1973-09-09,maysw101,mayswi01,Y,24,2992,10881,2062,3283,523,140,660,1903,338,103,1464,1526,192,44,13,0.3017185920411727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
mazerbi01,1936,9,5,USA,WV,Wheeling,NA,NA,NA,NA,NA,NA,Bill,Mazeroski,William Stanley,183,71,R,R,1956-07-07,1972-10-04,mazeb101,mazerbi01,Y,10,2163,7755,769,2016,294,62,138,853,27,23,447,706,110,20,87,0.25996131528046423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
mazzile01,1955,3,25,USA,NY,New York,NA,NA,NA,NA,NA,NA,Lee,Mazzilli,Lee Louis,180,73,B,R,1976-09-07,1989-09-29,mazzl001,mazzile01,N,1,1475,4124,571,1068,191,24,93,460,197,90,642,627,41,20,12,0.25897187196896215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
mcaleji01,1864,7,10,USA,OH,Youngstown,1931,4,29,USA,OH,Youngstown,Jimmy,McAleer,James Robert,175,72,R,R,1889-04-24,1907-07-08,mcalj102,mcaleji01,N,0,1020,3977,619,1007,114,39,12,469,262,0,365,290,0,38,34,0.2532059341211969,0,0,1,0,0,0,0,1,2,0,0,3,0,3,0,0,0,1,3,18
mcauldi01,1939,11,29,USA,CT,Hartford,NA,NA,NA,NA,NA,NA,Dick,McAuliffe,Richard John,176,71,L,R,1960-09-17,1975-09-01,mcaud101,mcauldi01,N,3,1763,6185,888,1530,231,71,197,697,63,59,882,974,59,33,32,0.24737267582861763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
mcbrige01,1880,11,20,USA,WI,Milwaukee,1973,7,2,USA,WI,Milwaukee,George,McBride,George Florian,170,71,R,R,1901-09-12,1920-07-29,mcbrg101,mcbrige01,N,0,1659,5526,516,1203,140,47,7,447,133,19,419,271,0,64,226,0.21769815418023888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
mccarda01,1969,11,23,USA,TX,Houston,NA,NA,NA,NA,NA,NA,Dave,McCarty,David Andrew,210,77,R,L,1993-05-17,2005-05-01,mccad001,mccarda01,N,0,632,1493,182,362,68,8,36,175,9,9,126,367,3,14,2,0.24246483590087073,0,0,3,0,0,0,0,11,2,1,0,1,4,1,0,0,14,2,1,11
mccarja01,1869,3,26,USA,MA,Hardwick,NA,NA,NA,NA,NA,NA,Jack,McCarthy,John Arthur,155,69,L,L,1893-08-03,1907-05-25,mccaj105,mccarja01,N,0,1091,4195,550,1203,171,66,7,474,145,0,268,13,0,24,153,0.2867699642431466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
mccarjo03,1910,1,7,USA,IL,Chicago,1973,9,13,USA,IL,Mundelein,Johnny,McCarthy,John Joseph,185,73,L,L,1934-09-02,1948-09-26,mccaj104,mccarjo03,N,0,542,1557,182,432,72,16,25,209,8,0,90,114,0,6,19,0.2774566473988439,0,0,1,0,0,0,0,15,8,4,1,2,0,0,0,0,24,1,4,14
mccarti01,1941,10,16,USA,TN,Memphis,NA,NA,NA,NA,NA,NA,Tim,McCarver,James Timothy,183,72,L,R,1959-09-10,1980-10-05,mccat101,mccarti01,N,2,1909,5529,590,1501,242,57,97,645,61,49,548,422,119,30,35,0.27147766323024053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
mccarto01,1863,7,24,USA,MA,Boston,1922,8,5,USA,MA,Boston,Tommy,McCarthy,Thomas Francis Michael,170,67,R,R,1884-07-10,1896-09-26,mccat103,mccarto01,Y,0,1275,5128,1069,1496,192,53,44,735,468,0,537,163,0,50,24,0.2917316692667707,0,7,13,6,5,0,0,208,83,38,3,26,21,1,0,0,4,7,63,12
